,Unnamed: 0,country,description,points,price,province,title,variety,description_preprocessed
0,0,Italy,"Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",87,,Sicily & Sardinia,Nicosia 2013 Vulkà Bianco  (Etna),White Blend,aroma include tropical fruit broom brimstone dry herb palate not overly expressive offering unripene apple citrus dry sage alongside brisk acidity
1,1,Portugal,"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",87,15.0,Douro,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,ripe fruity wine smooth still structured firm tannin fill juicy red berry fruit freshen acidity already drinkable although certainly well 2016
2,2,US,"Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",87,14.0,Oregon,Rainstorm 2013 Pinot Gris (Willamette Valley),Pinot Gris,tart snappy flavor lime flesh rind dominate green pineapple poke crisp acidity underscore flavor wine stainless - steel ferment
3,3,US,"Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.",87,13.0,Michigan,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,pineapple rind lemon pith orange blossom start aromas palate bit opulent note honey - drizzle guava mango give way slightly astringent semidry finish
4,4,US,"Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.",87,65.0,Oregon,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,much like regular bottle 2012 come across rather rough tannic rustic earthy herbal characteristic nonetheless think pleasantly unfussy country wine good companion hearty winter stew
5,5,Spain,"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",87,15.0,Northern Spain,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,blackberry raspberry aromas show typical navarran whiff green herbs case horseradish mouth fairly full bodied tomatoey acidity spicy herbal flavor complement dark plum fruit finish fresh grabby
6,6,Italy,"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",87,16.0,Sicily & Sardinia,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,bright informal red open aromas candy berry white pepper savory herb carry palate balanced fresh acidity soft tannin
7,7,France,"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",87,24.0,Alsace,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,dry restrained wine offer spice profusion balance acidity firm texture much food
8,8,Germany,"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",87,12.0,Rheinhessen,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,savory dry thyme notes accent sunnier flavor preserve peach brisk off - dry wine fruity fresh elegant sprightly footprint
9,9,France,This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,87,27.0,Alsace,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,great depth flavor fresh apple pear fruit touch spice dry balanced acidity crisp texture drink
10,10,US,"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",87,19.0,California,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,soft supple plum envelope oaky structure cabernet support 15 merlot coffee chocolate complete picture finish strong end result value - price wine attractive flavor immediate accessibility
11,11,France,"This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",87,30.0,Alsace,Leon Beyer 2012 Gewurztraminer (Alsace),Gewürztraminer,dry wine spicy tight taut texture strongly mineral character layer citrus well pepper food wine almost crisp aftertaste
12,12,US,"Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",87,34.0,California,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,slightly reduce wine offer chalky tannic backbone otherwise juicy explosion rich black cherry whole accent throughout firm oak cigar box
13,13,Italy,"This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.",87,,Sicily & Sardinia,Masseria Setteporte 2012 Rosso  (Etna),Nerello Mascalese,dominate oak oak - drive aroma include roasted coffee bean espresso coconut vanilla carry palate together plum chocolate astringent dry tannin give rather abrupt finish
14,14,US,"Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",87,12.0,California,Mirassou 2012 Chardonnay (Central Coast),Chardonnay,build 150 year six generation winemake tradition winery trend toward lean style classic california buttercream aroma cut tart green apple good everyday sip wine flavor range pear barely ripe pineapple prove approachable distinctive
15,15,Germany,"Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.",87,24.0,Mosel,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,zesty orange peels apple note abound sprightly mineral - tone riesle dry palate yet racy lean refreshing easy quaffer wide appeal
16,16,Argentina,"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",87,30.0,Other,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,bake plum molasse balsamic vinegar cheesy oak aromas feed palate braced bolt acidity compact set saucy red - berry plum flavor feature tobacco peppery accent finish mildly green flavor respectable weight balance
17,17,Argentina,"Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.",87,13.0,Mendoza Province,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Malbec,raw black - cherry aroma direct simple good juicy feel thickens time oak character extract become apparent flavor profile drive dark - berry fruit smolder oak finish meaty hot
18,18,Spain,"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",87,28.0,Northern Spain,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,desiccate blackberry leather char wood mint aroma carry nose full - bodied tannic heavily oake tinto fino flavor clove woodspice sit top blackberry fruit hickory forceful oak - base aroma rise dominate finish
